Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age,team_market,team_name,team_id
SMU MUSTANGS,American Athletic Conference,Tim Jankovich,6/4/1959,6,4,1959,2016–17,604,Gemini,Pig,60,SMU,Mustangs,3f4515ea-4472-46b9-ac9e-16d7d8f22a38
SOUTH ALABAMA JAGUARS,Sun Belt Conference,Richie Riley,1/8/1983,1,8,1983,2018–19,108,Capricorn,Pig,36,South Alabama,Jaguars,10c614fa-9646-46cf-a1fb-5af96772bbb8
SOUTH CAROLINA GAMECOCKS,Southeastern Conference,Frank Martin,3/23/1966,3,23,1966,2012–13,323,Aries,Horse,53,South Carolina,Gamecocks,1c7ec608-3b36-4cee-adac-9265e3792597
SOUTH CAROLINA STATE BULLDOGS,Mid-Eastern Athletic Conference,Murray Garvin,1/25/1974,1,25,1974,2012–13,125,Aquarius,Tiger,45,South Carolina State,Bulldogs,a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed
SOUTH DAKOTA COYOTES,Summit League,Todd Lee,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,South Dakota,Coyotes,c946b7ac-5159-4817-93c4-fc9495c6425b
SOUTH DAKOTA STATE JACKRABBITS,Summit League,T. J. Otzelberger,9/17/1977,9,17,1977,2016–17,917,Virgo,Snake,42,South Dakota State,Jackrabbits,6ef40534-5fad-4755-84de-7dcbd645d1f0
SOUTH FLORIDA BULLS,American Athletic Conference,Brian Gregory,12/15/1966,12,15,1966,2017–18,1215,Sagittarius,Horse,53,South Florida,Bulls,55af9c69-3675-4b9b-a882-96640b782fff
SOUTHEAST MISSOURI STATE REDHAWKS,Ohio Valley Conference,Rick Ray,5/8/1970,5,8,1970,2015–16,508,Taurus,Dog,49,Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde
SOUTHEASTERN LOUISIANA LIONS,Southland Conference,Jay Ladner,12/8/1965,12,8,1965,2014–15,1208,Sagittarius,Snake,54,Southeastern Louisiana,Lions,55cd5bb4-b030-4a7a-9652-6cebaf81c574
SOUTHERN ILLINOIS SALUKIS,Missouri Valley Conference,Barry Hinson,5/12/1961,5,12,1961,2012–13,512,Taurus,Ox,58,Southern Illinois,Salukis,7cdfcf92-7fe7-46f1-9b66-6912114182e6
SOUTHERN MISS GOLDEN EAGLES,Conference USA,Doc Sadler,6/12/1960,6,12,1960,2014–15,612,Gemini,Rat,59,Southern Miss,Golden Eagles,6120ac5d-e0f2-4b28-9e6f-ee71596a7e88
SOUTHERN JAGUARS,Southwestern Athletic Conference,Sean Woods,3/29/1970,3,29,1970,2018–19,329,Aries,Dog,49,Southern University,Jaguars,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984
SOUTHERN UTAH THUNDERBIRDS,Big Sky Conference,Todd Simon,8/3/1980,8,3,1980,2016–17,803,Leo,Monkey,39,Southern Utah,Thunderbirds,c7116621-45ed-4ab1-9ad9-dee524120569
ST. BONAVENTURE BONNIES,Atlantic 10 Conference,Mark Schmidt,2/12/1963,2,12,1963,2007–08,212,Aquarius,Rabbit,56,St. Bonaventure,Bonnies,22d90601-19d4-461b-a901-924d12f116ed
ST. FRANCIS BROOKLYN TERRIERS,Northeast Conference,Glenn Braica,9/16/1964,9,16,1964,2010–11,916,Virgo,Dragon,55,St. Francis (BKN),Terriers,e19cfc47-f23f-4c64-ba29-2e6d12dc45b2
SAINT FRANCIS RED FLASH,Northeast Conference,Rob Krimmel,9/27/1977,9,27,1977,2012–13,927,Libra,Snake,42,St. Francis (PA),Red Flash,6637ac5f-59c2-4888-af34-a86d138ccfb3
ST. JOHN'S RED STORM,Big East Conference,Chris Mullin,7/30/1963,7,30,1963,2015–16,730,Leo,Rabbit,56,St. John's,Red Storm,c1f4aae1-aa16-4095-aeab-10e5c2a1236a
SAINT PETER'S PEACOCKS,Metro Atlantic Athletic Conference,Shaheen Holloway,10/7/1976,10,7,1976,2018–19,1007,Libra,Dragon,43,St. Peter's,Peacocks,e66d7ed2-9b4c-48c8-adaa-a276793b057d
STANFORD CARDINAL,Pac-12 Conference,Jerod Haase,4/1/1974,4,1,1974,2016–17,401,Aries,Tiger,45,Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa
STEPHEN F. AUSTIN LUMBERJACKS,Southland Conference,Kyle Keller,1/16/1968,1,16,1968,2016–17,116,Capricorn,Monkey,51,Stephen F. Austin,Lumberjacks,5ef64f01-86ae-4553-9834-c79cc0859eaf
STETSON HATTERS,Atlantic Sun Conference,Corey Williams,4/24/1970,4,24,1970,2013–14,424,Taurus,Dog,49,Stetson,Hatters,394d1b2b-7a19-4d43-b04a-5f366c24e5bf
STONY BROOK SEAWOLVES,America East Conference,Jeff Boals,9/5/1972,9,5,1972,2016–17,905,Virgo,Rat,47,Stony Brook,Seawolves,23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6
SYRACUSE ORANGE,Atlantic Coast Conference,Jim Boeheim,11/17/1944,11,17,1944,1976–77,1117,Scorpio,Monkey,75,Syracuse,Orange,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
TCU HORNED FROGS,Big 12 Conference,Jamie Dixon,11/10/1965,11,10,1965,2016–17,1110,Scorpio,Snake,54,TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467
TEMPLE OWLS,American Athletic Conference,Fran Dunphy,10/5/1948,10,5,1948,2006–07,1005,Libra,Rat,71,Temple,Owls,8598d1b6-106b-4083-a512-2e495729525a
TENNESSEE VOLUNTEERS,Southeastern Conference,Rick Barnes,7/17/1954,7,17,1954,2015–16,717,Cancer,Horse,65,Tennessee,Volunteers,b827dbdf-230f-4916-9703-3bb9004e26eb
TENNESSEE STATE TIGERS,Ohio Valley Conference,Brian Collins,3/23/1984,3,23,1984,2018–19,323,Aries,Rat,35,Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328
TENNESSEE TECH GOLDEN EAGLES,Ohio Valley Conference,Steve Payne,2/12/1968,2,12,1968,2011–12,212,Aquarius,Monkey,51,Tennessee Tech,Golden Eagles,fe037cba-25d9-42f5-a461-61d7102c17de
UT MARTIN SKYHAWKS,Ohio Valley Conference,Anthony Stewart,4/15/1970,4,15,1970,2016–17,415,Aries,Dog,49,Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f
TEXAS LONGHORNS,Big 12 Conference,Shaka Smart,4/8/1977,4,8,1977,2015–16,408,Aries,Snake,42,Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644
TEXAS A&M AGGIES,Southeastern Conference,Billy Kennedy,2/2/1964,2,2,1964,2011–12,202,Aquarius,Dragon,55,Texas A&M,Aggies,ef184799-d79b-49d9-a662-991eaf4044cd
TEXAS A&M–CORPUS CHRISTI ISLANDERS,Southland Conference,Willis Wilson,3/22/1960,3,22,1960,2011–12,322,Aries,Rat,59,Texas A&M-CC,Islanders,fe21a988-3e96-4f3c-8f9f-b449ccda43b0
UTRGV VAQUEROS,Western Athletic Conference,Lew Hill,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51,Texas Rio Grande Valley,Vaqueros,92456e1e-f48c-4385-96ab-14cb27d18726
TEXAS SOUTHERN TIGERS,Southwestern Athletic Conference,Johnny Jones,3/30/1961,3,30,1961,2018–19,330,Aries,Ox,58,Texas Southern,Tigers,eb157f98-0697-459c-9293-ddb162ceb28b
TEXAS STATE BOBCATS,Sun Belt Conference,Danny Kaspar,11/16/1954,11,16,1954,2013–14,1116,Scorpio,Horse,65,Texas State,Bobcats,1e5dc9e4-c60d-487b-8279-dfbec9229faa
TEXAS TECH RED RAIDERS,Big 12 Conference,Chris Beard,2/18/1973,2,18,1973,2016–17,218,Aquarius,Ox,46,Texas Tech,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469
TEXAS–ARLINGTON MAVERICKS,Sun Belt Conference,Chris Ogden,10/16/1980,10,16,1980,2018–19,1016,Libra,Monkey,39,Texas-Arlington,Mavericks,7c2b372b-b5f0-466e-90cf-880beec57584
TOLEDO ROCKETS,Mid-American Conference,Tod Kowalczyk,6/19/1966,6,19,1966,2010–11,619,Gemini,Horse,53,Toledo,Rockets,34dd83ac-64f2-4b73-8577-899b2a46f5cc
TOWSON TIGERS,Colonial Athletic Association,Pat Skerry,1/21/1970,1,21,1970,2011–12,121,Aquarius,Dog,49,Towson,Tigers,6f3eec09-2918-4739-a0e8-5d79e14a8332
TROY TROJANS,Sun Belt Conference,Phil Cunningham,10/17/1966,10,17,1966,2013–14,1017,Libra,Horse,53,Troy,Trojans,6373b18c-62f6-49bc-bd4c-8959a2466516
TULANE GREEN WAVE,American Athletic Conference,Mike Dunleavy Sr.,3/21/1954,3,21,1954,2016–17,321,Aries,Horse,65,Tulane,Green Wave,399ad7fb-de60-45a6-a71f-d26e00f1a4ec
TULSA GOLDEN HURRICANE,American Athletic Conference,Frank Haith,11/3/1965,11,3,1965,2014–15,1103,Scorpio,Snake,54,Tulsa,Golden Hurricane,2959bd24-7007-41ae-a3a3-abdf26888cfc
UAB BLAZERS,Conference USA,Robert Ehsan,5/3/1982,5,3,1982,2016–17,503,Taurus,Dog,37,UAB,Blazers,63a8fdcf-b51b-4de3-8a57-2a6e41d362ce
UC DAVIS AGGIES,Big West Conference,Jim Les,8/18/1963,8,18,1963,2011–12,818,Leo,Rabbit,56,UC Davis,Aggies,8aaad1c0-d16e-4b9f-8541-dac670addd71
UC IRVINE ANTEATERS,Big West Conference,Russell Turner,10/24/1970,10,24,1970,2010–11,1024,Scorpio,Dog,49,UC Irvine,Anteaters,39d00ef7-320d-47cf-a2fa-859bc24d16b4
UC RIVERSIDE HIGHLANDERS,Big West Conference,David Patrick,2/21/1976,2,21,1976,2018–19,221,Pisces,Dragon,43,UC Riverside,Highlanders,6b170a32-8445-4cb1-8638-724996c3094b
UC SANTA BARBARA GAUCHOS,Big West Conference,Joe Pasternack,4/15/1977,4,15,1977,2017–18,415,Aries,Snake,42,UC Santa Barbara,Gauchos,3b6293f3-03db-46d2-8793-248963c2d83b
UCF KNIGHTS,American Athletic Conference,Johnny Dawkins,9/28/1963,9,28,1963,2016–17,928,Libra,Rabbit,56,UCF,Knights,054c3e85-0552-4549-b123-7e84af6e7b6c
UCLA BRUINS,Pac-12 Conference,Steve Alford,11/23/1964,11,23,1964,2013–14,1123,Sagittarius,Dragon,55,UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f
UMBC RETRIEVERS,America East Conference,Ryan Odom,7/11/1974,7,11,1974,2016–17,711,Cancer,Tiger,45,UMBC,Retrievers,32755362-6336-4dd3-ac34-6f72a6cc150b
UMKC KANGAROOS,Western Athletic Conference,Kareem Richardson,8/8/1974,8,8,1974,2013–14,808,Leo,Tiger,45,UMKC,Kangaroos,820c8f26-cf11-4997-b2e2-19f47bd2f72f
UNC ASHEVILLE BULLDOGS,Big South Conference,Mike Morrell,8/22/1982,8,22,1982,2018–19,822,Leo,Dog,37,UNC Asheville,Bulldogs,ad9fce12-6b1a-400c-bcbe-29d84d065fc0
UNC GREENSBORO SPARTANS,Southern Conference,Wes Miller,1/28/1983,1,28,1983,2011–12,128,Aquarius,Pig,36,UNC Greensboro,Spartans,612f7f66-1de1-4d42-b842-9a508daab911
UNLV RUNNIN' REBELS,Mountain West Conference,Marvin Menzies,10/15/1961,10,15,1961,2016–17,1015,Libra,Ox,58,UNLV,Rebels,68a3227f-677f-43b0-9a3a-cad79d0df9e2
USC TROJANS,Pac-12 Conference,Andy Enfield,6/8/1969,6,8,1969,2013–14,608,Gemini,Rooster,50,USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9
SOUTH CAROLINA UPSTATE SPARTANS,Big South Conference,Dave Dickerson,3/29/1967,3,29,1967,2018–19,329,Aries,Goat,52,USC Upstate,Spartans,2e78bd1b-9422-491e-9c73-37cf83b0e34e
UTAH UTES,Pac-12 Conference,Larry Krystkowiak,9/23/1964,9,23,1964,2011–12,923,Libra,Dragon,55,Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d
UTAH STATE AGGIES,Mountain West Conference,Craig Smith,12/14/1972,12,14,1972,2018–19,1214,Sagittarius,Rat,47,Utah State,Aggies,7672ff16-8436-47e6-8546-0fb5494ec7ee
UTAH VALLEY WOLVERINES,Western Athletic Conference,Mark Pope,9/11/1972,9,11,1972,2015–16,911,Virgo,Rat,47,Utah Valley,Wolverines,4200f37c-86e0-413e-a5c4-e5edf1e272e7
UTEP MINERS,Conference USA,Rodney Terry,3/27/1968,3,27,1968,2018–19,327,Aries,Monkey,51,UTEP,Miners,06d15d35-4955-4fdd-83d9-32d24dbd795b
UTSA ROADRUNNERS,Conference USA,Steve Henson,2/2/1968,2,2,1968,2016–17,202,Aquarius,Monkey,51,UTSA,Roadrunners,953151f2-1e42-4cb0-a99e-202493a64dcf
VALPARAISO CRUSADERS,Missouri Valley Conference,Matt Lottich,7/29/1982,7,29,1982,2016–17,729,Leo,Dog,37,Valparaiso,Crusaders,df3da9d7-2d2b-44e2-99e2-08c4945a203b
VANDERBILT COMMODORES,Southeastern Conference,Bryce Drew,9/21/1974,9,21,1974,2016–17,921,Virgo,Tiger,45,Vanderbilt,Commodores,72971b77-1d35-40b3-bb63-4c5b29f3d22b
VERMONT CATAMOUNTS,America East Conference,John Becker,4/17/1968,4,17,1968,2011–12,417,Aries,Monkey,51,Vermont,Catamounts,18e89867-9201-41ce-ba19-fadddf92fa17
VILLANOVA WILDCATS,Big East Conference,Jay Wright,12/24/1961,12,24,1961,2001–02,1224,Capricorn,Ox,58,Villanova,Wildcats,4383eb6a-7fd8-4ff2-94c5-43c933121e88
VIRGINIA CAVALIERS,Atlantic Coast Conference,Tony Bennett,6/1/1969,6,1,1969,2009–10,601,Gemini,Rooster,50,Virginia,Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
VCU RAMS,Atlantic 10 Conference,Mike Rhoades,9/21/1972,9,21,1972,2017–18,921,Virgo,Rat,47,Virginia Commonwealth,Rams,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
VMI KEYDETS,Southern Conference,Dan Earl,10/12/1974,10,12,1974,2015–16,1012,Libra,Tiger,45,Virginia Military,Keydets,227d3567-d57b-417e-afc4-735e4cb308a1
VIRGINIA TECH HOKIES,Atlantic Coast Conference,Buzz Williams,9/1/1972,9,1,1972,2014–15,901,Virgo,Rat,47,Virginia Tech,Hokies,324ccccc-575b-4b82-acb0-fbb8e68da13b
WAGNER SEAHAWKS,Northeast Conference,Bashir Mason,2/11/1984,2,11,1984,2012–13,211,Aquarius,Rat,35,Wagner,Seahawks,3b644902-cd06-4930-9a3e-6c78cfb1f464
WAKE FOREST DEMON DEACONS,Atlantic Coast Conference,Danny Manning,5/17/1966,5,17,1966,2014–15,517,Taurus,Horse,53,Wake Forest,Demon Deacons,4fbebf0a-e117-4a0c-8f15-c247535a2a1b
WASHINGTON HUSKIES,Pac-12 Conference,Mike Hopkins,8/6/1969,8,6,1969,2017–18,806,Leo,Rooster,50,Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44
WASHINGTON STATE COUGARS,Pac-12 Conference,Ernie Kent,1/22/1955,1,22,1955,2014–15,122,Aquarius,Goat,64,Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03
WEBER STATE WILDCATS,Big Sky Conference,Randy Rahe,6/12/1960,6,12,1960,2006–07,612,Gemini,Rat,59,Weber State,Wildcats,4743cb7c-784a-4b95-a380-5471f92f2217
WEST VIRGINIA MOUNTAINEERS,Big 12 Conference,Bob Huggins,9/21/1953,9,21,1953,2007–08,921,Virgo,Snake,66,West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e
WESTERN CAROLINA CATAMOUNTS,Southern Conference,Mark Prosser,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51,Western Carolina,Catamounts,6bff595c-32cb-4028-837c-c7de2a2107e6
WESTERN ILLINOIS LEATHERNECKS,Summit League,Billy Wright,9/15/1974,9,15,1974,2014–15,915,Virgo,Tiger,45,Western Illinois,Leathernecks,cc9e5424-ab3b-41ec-b2aa-7e8a73d759c6
WESTERN KENTUCKY HILLTOPPERS,Conference USA,Rick Stansbury,12/23/1959,12,23,1959,2016–17,1223,Capricorn,Pig,60,Western Kentucky,Hilltoppers,881380da-861c-4ab6-a7d2-20699d8ea883
WESTERN MICHIGAN BRONCOS,Mid-American Conference,Steve Hawkins,8/3/1962,8,3,1962,2003–04,803,Leo,Tiger,57,Western Michigan,Broncos,f2164f01-2cbc-4967-bb1c-93656d790921
WICHITA STATE SHOCKERS,American Athletic Conference,Gregg Marshall,2/27/1963,2,27,1963,2007–08,227,Pisces,Rabbit,56,Wichita State,Shockers,f38b58de-3273-4723-a78b-2f918e9aa2d5
WILLIAM & MARY TRIBE,Colonial Athletic Association,Tony Shaver,1/28/1954,1,28,1954,2003–04,128,Aquarius,Horse,65,William & Mary,Tribe,ad24b724-a11c-4dcd-a68c-67c53833ccb7
WINTHROP EAGLES,Big South Conference,Pat Kelsey,5/15/1975,5,15,1975,2012–13,515,Taurus,Rabbit,44,Winthrop,Eagles,ca441726-0c57-4456-b1e7-fff098484fb5
WISCONSIN BADGERS,Big Ten Conference,Greg Gard,12/3/1970,12,3,1970,2015–16,1203,Sagittarius,Dog,49,Wisconsin,Badgers,c7569eae-5b93-4197-b204-6f3a62146b25
WOFFORD TERRIERS,Southern Conference,Mike Young,5/1/1963,5,1,1963,2002–03,501,Taurus,Rabbit,56,Wofford,Terriers,9916713f-b243-452b-93ae-a2c3ccabf68b
WRIGHT STATE RAIDERS,Horizon League,Scott Nagy,6/7/1966,6,7,1966,2016–17,607,Gemini,Horse,53,Wright State,Raiders,9c396fa7-c165-4599-8542-158bd0d9a199
WYOMING COWBOYS,Mountain West Conference,Allen Edwards,12/16/1975,12,16,1975,2016–17,1216,Sagittarius,Rabbit,44,Wyoming,Cowboys,a7127c0a-a466-47ae-91ad-9a71ee2c9427
XAVIER MUSKETEERS,Big East Conference,Travis Steele,11/12/1981,11,12,1981,2018–19,1112,Scorpio,Rooster,38,Xavier,Musketeers,0d8a328f-20ce-410b-bed1-15fc01308aaf
YALE BULLDOGS,Ivy League,James Jones,2/20/1964,2,20,1964,1999–2000,220,Pisces,Dragon,55,Yale,Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb
YOUNGSTOWN STATE PENGUINS,Horizon League,Jerrod Calhoun,10/17/1981,10,17,1981,2017–18,1017,Libra,Rooster,38,Youngstown State,Penguins,da7d41bc-48b0-4a04-948f-792d6470bcb5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,da7d41bc-48b0-4a04-948f-792d6470bcb5
